中分類ID,中分類,小分類ID,小分類,種別,通し番号 ,優先度,割り当て時間数（h）, DS-BoK KA番号,内容
A,基礎数学と数理統計学,1,線形代数学基礎,知識,DS-014,E,2,KA01.01,ベクトルの内積に関する計算方法を理解し，一次式をベクトルの内積で表現できる．【備考】高校数学B（新課程ではC）の範囲（履修していないの高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,1,線形代数学基礎,知識,DS-015,E,2,KA01.01,行列同士，および行列とベクトルの計算方法を正しく理解し，複数の一次式を行列の積で表現できる．
A,基礎数学と数理統計学,1,線形代数学基礎,知識,DS-016,E,1,KA01.01,逆行列の定義，および逆行列を求めることにより行列表記された連立方程式を解くことができることを理解している．
A,基礎数学と数理統計学,2,微分・積分学,知識,DS-017,E,1,KA01.01,固有ベクトルおよび固有値の意味を理解している．
A,基礎数学と数理統計学,2,微分・積分学,知識,DS-018,E,1,KA01.01,微分により計算する導関数が傾きを求めるための式であることを理解している．
A,基礎数学と数理統計学,2,微分・積分学,知識,DS-019,E,1,KA01.01,2変数以上の関数における偏微分の計算方法を理解している．
A,基礎数学と数理統計学,2,微分・積分学,知識,DS-020,E,1,KA01.01,積分と面積の関係を理解し，確率密度関数を定積分することで確率が得られることを説明できる．
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-01,T1,1,KA01.01,指数関数，対数関数とその基本性質を理解している．【備考】高校数学Ⅱの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-02,T1,1,KA01.01,自然対数の底(e)を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-03,T1,1,KA01.01,関数の極限の定義と計算を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-04,T1,2,KA01.01,初等関数の導関数を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-05,T1,2,KA01.01,微分法の基本的な関係（合成関数の微分法，積の微分法）を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-06,T1,1,KA01.01,偏微分の定義を理解している．
A,基礎数学と数理統計学,2,微分・積分学,知識,IPSJ-07,T1,2,KA01.01,微分の逆演算と原始関数を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,3,数理統計学,知識,IPSJ-08,T1,2,KA01.01,定積分の計算を理解している．【備考】高校数学Ⅲの範囲（履修していない高校生もいるため，高校数学との接続を考慮して追加）
A,基礎数学と数理統計学,3,数理統計学,知識,DS-001a,T1,0.5,KA01.01,場合の数，順列・組みわせの概念を理解している．【備考】高校数学Aの範囲（履修していない高校生も存在）
A,基礎数学と数理統計学,3,数理統計学,知識,DS-002,T1,0,KA01.01,確率の概念を理解し，同時確率と条件付き確率の意味や違いを説明できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,知識,DS-003,T1,0,KA01.01,平均（相加平均），中央値，最頻値の算出方法の違いを説明できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,知識,DS-004a,T1,0,KA01.01,分散と標準偏差の意味と定義を説明できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,知識,DS-005,T1,0.5,KA01.01,母（集団）平均と標本平均，不偏分散と標本分散の違いを説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-006,T1,0.5,KA01.01,標準正規分布の分散と平均の値を知っている．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-007,T1,0,KA01.01,相関関数と因果関係の違いを説明できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,知識,DS-008,T1,0.25,KA01.01,名義尺度，順序尺度，間隔尺度，比例尺度の違いを説明できる．
